2; 0,0013; 0,0002; 0,0001; 0,0002; 0,0002; 0,0001; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0001; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0002; 0,0002; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0001; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0001; 0,0002; 0,0002; 0,0002; 0,0002; 0,0001; 0,0001; 0,0001; 0,0001; 0,0002; 0,0002; 0,0001
3; 0,001; 0,0004; 0,0004; 0,0004; 0,0004; 0,0003; 0,0003; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0003; 0,0003; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0004; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0004; 0,0003; 0,0003; 0,0004; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0003; 0,0003; 0,0004; 0,0003; 0,0003; 0,0004; 0,0003; 0,0004; 0,0003; 0,0003; 0,0004; 0,0003; 0,0003; 0,0004; 0,0003; 0,0003
4; 0,005; 0,0037; 0,0033; 0,0032; 0,0031; 0,0032; 0,0032; 0,0033; 0,0032; 0,0032; 0,0032; 0,0032; 0,0031; 0,0032; 0,0033; 0,0031; 0,0032; 0,0032; 0,0032; 0,0108; 0,0038; 0,0033; 0,0032; 0,0032; 0,0032; 0,0156; 0,0033; 0,0034; 0,0032; 0,003; 0,0031; 0,0031; 0,0032; 0,0032; 0,0031; 0,0031; 0,0033; 0,0032; 0,0031; 0,0031; 0,0032; 0,0032; 0,0032; 0,0032; 0,0031; 0,0032; 0,0031; 0,0033; 0,0032; 0,0032; 0,0031; 0,0032; 0,0031; 0,0032; 0,0031; 0,0031; 0,0032; 0,0032; 0,0031; 0,0033; 0,0033; 0,0031; 0,0032; 0,0033; 0,0032; 0,0032; 0,0031; 0,0032; 0,0031; 0,0031; 0,0032; 0,0031; 0,0031; 0,0033; 0,0032; 0,0032; 0,0032; 0,0032; 0,0031; 0,0033; 0,0032; 0,0031; 0,0031; 0,0032; 0,0031; 0,0031; 0,0033; 0,0031; 0,0032; 0,0032; 0,0032; 0,0032; 0,0031; 0,0032; 0,0031; 0,0032; 0,0032; 0,0032; 0,0031; 0,0032
5; 0,017; 0,0153; 0,0154; 0,0153; 0,0152; 0,0152; 0,0151; 0,015; 0,0152; 0,0151; 0,0154; 0,0152; 0,015; 0,015; 0,0153; 0,0153; 0,0151; 0,0151; 0,0151; 0,0151; 0,0153; 0,015; 0,0151; 0,0151; 0,0153; 0,0154; 0,015; 0,0151; 0,0152; 0,0152; 0,015; 0,0154; 0,0151; 0,0152; 0,0152; 0,015; 0,0152; 0,0153; 0,0151; 0,0153; 0,0152; 0,015; 0,0153; 0,0151; 0,0288; 0,0156; 0,0267; 0,0157; 0,0153; 0,0151; 0,0151; 0,0152; 0,0151; 0,015; 0,0152; 0,015; 0,0151; 0,0153; 0,0151; 0,0155; 0,0152; 0,015; 0,015; 0,0152; 0,0152; 0,0153; 0,0154; 0,0151; 0,0153; 0,0151; 0,015; 0,0151; 0,0153; 0,015; 0,0153; 0,0153; 0,0152; 0,0151; 0,0152; 0,0152; 0,0153; 0,0152; 0,0151; 0,015; 0,0151; 0,0152; 0,0153; 0,015; 0,0153; 0,015; 0,015; 0,0151; 0,015; 0,0151; 0,0151; 0,0152; 0,015; 0,0152; 0,0152; 0,015
